Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1643691.00,0,42.31,2.572,211,8.106
1,12-02-2010,1641957.00,1,38.51,2.548,211,8.106
1,19-02-2010,1611968.00,0,39.93,2.514,211,8.106
1,26-02-2010,1409728.00,0,46.63,2.561,211,8.106
1,05-03-2010,1554807.00,0,46.50,2.625,211,8.106
1,12-03-2010,1439542.00,0,57.79,2.667,211,8.106
1,19-03-2010,1472516.00,0,54.58,2.72,211,8.106
1,26-03-2010,1404430.00,0,51.45,2.732,211,8.106
1,02-04-2010,1594968.00,0,62.27,2.719,211,7.808
1,09-04-2010,1545419.00,0,65.86,2.77,211,7.808
1,16-04-2010,1466058.00,0,66.32,2.808,210,7.808
1,23-04-2010,1391256.00,0,64.84,2.795,210,7.808
1,30-04-2010,1425101.00,0,67.41,2.78,210,7.808
1,07-05-2010,1603955.00,0,72.55,2.835,210,7.808
1,14-05-2010,1494252.00,0,74.78,2.854,210,7.808
1,21-05-2010,1399662.00,0,76.44,2.826,211,7.808
1,28-05-2010,1432070.00,0,80.44,2.759,211,7.808
1,04-06-2010,1615525.00,0,80.69,2.705,211,7.808
1,11-06-2010,1542561.00,0,80.43,2.668,211,7.808
1,18-06-2010,1503284.00,0,84.11,2.637,211,7.808
1,25-06-2010,1422712.00,0,84.34,2.653,211,7.808
1,02-07-2010,1492418.00,0,80.91,2.669,211,7.787
1,09-07-2010,1546074.00,0,80.48,2.642,211,7.787
1,16-07-2010,1448939.00,0,83.15,2.623,211,7.787
1,23-07-2010,1385065.00,0,83.36,2.608,211,7.787
1,30-07-2010,1371987.00,0,81.84,2.64,211,7.787
1,06-08-2010,1605492.00,0,87.16,2.627,212,7.787
1,13-08-2010,1508238.00,0,87.00,2.692,212,7.787
1,20-08-2010,1513080.00,0,86.65,2.664,212,7.787
1,27-08-2010,1449143.00,0,85.22,2.619,212,7.787
1,03-09-2010,1540164.00,0,81.21,2.577,212,7.787
1,10-09-2010,1507461.00,1,78.69,2.565,211,7.787
1,17-09-2010,1430379.00,0,82.11,2.582,212,7.787
1,24-09-2010,1351791.00,0,80.94,2.624,212,7.787
1,01-10-2010,1453330.00,0,71.89,2.603,212,7.838
1,08-10-2010,1508240.00,0,63.93,2.633,212,7.838
1,15-10-2010,1459409.00,0,67.18,2.72,212,7.838
1,22-10-2010,1345454.00,0,69.86,2.725,212,7.838
1,29-10-2010,1384209.00,0,69.64,2.716,212,7.838
1,05-11-2010,1551659.00,0,58.74,2.689,212,7.838
1,12-11-2010,1494479.00,0,59.61,2.728,212,7.838
1,19-11-2010,1483784.00,0,51.41,2.771,212,7.838
1,26-11-2010,1955624.00,1,64.52,2.735,212,7.838
1,03-12-2010,1548034.00,0,49.27,2.708,212,7.838
1,10-12-2010,1682614.00,0,46.33,2.843,211,7.838
1,17-12-2010,1891035.00,0,49.84,2.869,211,7.838
1,24-12-2010,2387950.00,0,52.33,2.886,211,7.838
1,31-12-2010,1367320.00,1,48.43,2.943,211,7.838
1,07-01-2011,1444732.00,0,48.27,2.976,211,7.742
1,14-01-2011,1391014.00,0,35.40,2.983,211,7.742
1,21-01-2011,1327405.00,0,44.04,3.016,212,7.742
1,28-01-2011,1316899.00,0,43.83,3.01,212,7.742
1,04-02-2011,1606630.00,0,42.27,2.989,213,7.742
1,11-02-2011,1649615.00,1,36.39,3.022,213,7.742
1,18-02-2011,1686843.00,0,57.36,3.045,213,7.742
1,25-02-2011,1456800.00,0,62.90,3.065,214,7.742
1,04-03-2011,1636263.00,0,59.58,3.288,214,7.742
1,11-03-2011,1553192.00,0,53.56,3.459,214,7.742
1,18-03-2011,1576818.00,0,62.76,3.488,214,7.742
1,25-03-2011,1541102.00,0,69.97,3.473,215,7.742
1,01-04-2011,1495065.00,0,59.17,3.524,215,7.682
1,08-04-2011,1614259.00,0,67.84,3.622,215,7.682
1,15-04-2011,1559889.00,0,71.27,3.743,215,7.682
1,22-04-2011,1564820.00,0,72.99,3.807,215,7.682
1,29-04-2011,1455091.00,0,72.03,3.81,216,7.682
1,06-05-2011,1629391.00,0,64.61,3.906,216,7.682
1,13-05-2011,1604776.00,0,75.64,3.899,216,7.682
1,20-05-2011,1428218.00,0,67.63,3.907,216,7.682
1,27-05-2011,1466047.00,0,77.72,3.786,216,7.682
1,03-06-2011,1635078.00,0,83.00,3.699,215,7.682
1,10-06-2011,1588948.00,0,83.13,3.648,215,7.682
1,17-06-2011,1532115.00,0,86.41,3.637,215,7.682
1,24-06-2011,1438830.00,0,83.58,3.594,215,7.682
1,01-07-2011,1488538.00,0,85.55,3.524,215,7.962
1,08-07-2011,1534850.00,0,85.83,3.48,215,7.962
1,15-07-2011,1455120.00,0,88.54,3.575,215,7.962
1,22-07-2011,1396927.00,0,85.77,3.651,215,7.962
1,29-07-2011,1352220.00,0,86.83,3.682,215,7.962
1,05-08-2011,1624384.00,0,91.65,3.684,216,7.962
1,12-08-2011,1525147.00,0,90.76,3.638,216,7.962
